BOT2cds1	WP_019090046.1	92.366	131	10	0	1	131	1	131	2.49e-81	253	396	131	100	100	MULTISPECIES: elongation factor Tu [Acetobacter]	"Acetobacter ascendens" (Henneberg 1898) Kim et al. 2018;a-proteobacteria	434;481146	Acetobacter;Acetobacter ascendens	Bacteria
BOT2cds2	CAX84028.1	77.778	693	152	1	1	691	1	693	0.0	1129	693	691	100	100	Elongation factor G (EF-G) [uncultured bacterium]	bacteria	77133	uncultured bacterium	Bacteria
BOT2cds3	CAX84027.1	75.641	156	38	0	1	156	1	156	1.38e-84	254	156	156	100	100	30S ribosomal protein S7 [uncultured bacterium]	bacteria	77133	uncultured bacterium	Bacteria
BOT2cds4	WP_097281809.1	84.553	123	19	0	1	123	1	123	1.90e-72	221	123	123	100	100	30S ribosomal protein S12 [Caenispirillum bisanense]	a-proteobacteria	414052	Caenispirillum bisanense	Bacteria
BOT2cds5	WP_007678361.1	68.238	1379	405	10	1	1366	1	1359	0.0	1910	1390	1376	99	99	DNA-directed RNA polymerase subunit beta' [alpha proteobacterium BAL199]	a-proteobacteria	331869	alpha proteobacterium BAL199	Bacteria
BOT2cds6	WP_043647243.1	67.193	1393	424	6	1	1363	1	1390	0.0	1912	1391	1364	99	99	DNA-directed RNA polymerase subunit beta [Caenispirillum salinarum]	a-proteobacteria	859058	Caenispirillum salinarum	Bacteria
BOT2cds7	WP_043101840.1	76.984	126	29	0	1	126	1	126	1.67e-42	145	126	126	100	100	50S ribosomal protein L7/L12 [Oleiagrimonas soli]	g-proteobacteria	1543381	Oleiagrimonas soli	Bacteria
BOT2cds8	OIO70550.1	50.581	172	85	0	1	172	1	172	9.83e-55	180	172	174	99	99	50S ribosomal protein L10 [Zetaproteobacteria bacterium CG1_02_55_237]	proteobacteria	1805428;1974110;1974112;1974117;1974124;1974127	Zetaproteobacteria bacterium CG1_02_55_237;Zetaproteobacteria bacterium CG_4_10_14_0_2_um_filter_55_20;Zetaproteobacteria bacterium CG_4_10_14_0_8_um_filter_55_43;Zetaproteobacteria bacterium CG_4_9_14_0_8_um_filter_55_31;Zetaproteobacteria bacterium CG08_land_8_20_14_0_20_55_17;Zetaproteobacteria bacterium CG12_big_fil_rev_8_21_14_0_65_55_1124	Bacteria
BOT2cds9	KPK52413.1	66.818	220	72	1	6	225	6	224	3.93e-101	302	232	229	96	96	50S ribosomal protein L1 [Myxococcales bacterium SG8_38_1]	d-proteobacteria	1703408	Myxococcales bacterium SG8_38_1	Bacteria
BOT2cds10	WP_094410683.1	69.231	143	44	0	1	143	1	143	5.02e-68	211	143	143	100	100	50S ribosomal protein L11 [Elstera cyanobacteriorum]	a-proteobacteria	2022747	Elstera cyanobacteriorum	Bacteria
